Month,Year,Rail PM
1,1990,454115779
2,1990,435086002
3,1990,568289732
4,1990,568101697
5,1990,539628385
6,1990,570694457
7,1990,618571581
8,1990,609210368
9,1990,488444939
10,1990,514253920
11,1990,516429873
12,1990,531619395
1,1991,496467387
2,1991,469504489
3,1991,587905914
4,1991,509488334
5,1991,566342448
6,1991,603845247
7,1991,633450001
8,1991,664013874
9,1991,494557648
10,1991,509037626
11,1991,472359118
12,1991,550795984
1,1992,493541137
2,1992,462084011
3,1992,559205172
4,1992,572122965
5,1992,546043825
6,1992,478204759
7,1992,610774196
8,1992,627359211
9,1992,516516158
10,1992,538313763
11,1992,539769246
12,1992,551397116
1,1993,500349189
2,1993,461280157
3,1993,534476186
4,1993,562429065
5,1993,554039017
6,1993,580500717
7,1993,586861727
8,1993,611839976
9,1993,501353952
10,1993,507702230
11,1993,489299178
12,1993,503041903
1,1994,472917856
2,1994,463567851
3,1994,572167273
4,1994,546898075
5,1994,524008197
6,1994,531971149
7,1994,578257564
8,1994,587229076
9,1994,490032783
10,1994,493619903
11,1994,477594716
12,1994,490779357
1,1995,425207429
2,1995,393268412
3,1995,489360683
4,1995,490903635
5,1995,511120586
6,1995,542693418
7,1995,571259638
8,1995,580982161
9,1995,451385426
10,1995,441202778
11,1995,435470011
12,1995,444598571
1,1996,362022328
2,1996,343413949
3,1996,416042895
4,1996,425092726
5,1996,467573082
6,1996,476554648
7,1996,525954361
8,1996,551695523
9,1996,412344840
10,1996,425991795
11,1996,389249720
12,1996,437256586
1,1997,337798678
2,1997,337893100
3,1997,416925515
4,1997,408488665
5,1997,444032624
6,1997,481053743
7,1997,540293509
8,1997,552486079
9,1997,425814893
10,1997,445858326
11,1997,441249575
12,1997,454400575
1,1998,371355589
2,1998,326874247
3,1998,426172239
4,1998,447877815
5,1998,462341914
6,1998,482325897
7,1998,537481124
8,1998,526444502
9,1998,430364874
10,1998,444719403
11,1998,427669956
12,1998,459051399
1,1999,384824724
2,1999,350270063
3,1999,436837107
4,1999,435360347
5,1999,450054655
6,1999,496553598
7,1999,543923323
8,1999,528001216
9,1999,393137094
10,1999,425897553
11,1999,421595015
12,1999,442742459
1,2000,366607410
2,2000,366139276
3,2000,453096388
4,2000,473751011
5,2000,481725263
6,2000,517102460
7,2000,564747276
8,2000,558060051
9,2000,446489429
10,2000,462329685
11,2000,442268378
12,2000,461651082
1,2001,379458113
2,2001,366288212
3,2001,448912584
4,2001,455496342
5,2001,462376555
6,2001,528690495
7,2001,564037290
8,2001,562266005
9,2001,446266947
10,2001,452095235
11,2001,446094295
12,2001,479188434
1,2002,398440459
2,2002,397948828
3,2002,461087451
4,2002,453147413
5,2002,461648459
6,2002,499751748
7,2002,564046073
8,2002,516103068
9,2002,385097846
10,2002,399248774
11,2002,375996408
12,2002,448246102
1,2003,393287373
2,2003,390041481
3,2003,472573962
4,2003,483653074
5,2003,489484678
6,2003,531138943
7,2003,578767927
8,2003,557897322
9,2003,427807444
10,2003,463025617
11,2003,448181812
12,2003,489403554
1,2004,410338691
2,2004,389778365
3,2004,453014590
4,2004,471116666
